Local time,Open,High,Low,Close,Volume
01.11.2024 05:50:00.000 GMT+0200,2750.574,2751.674,2750.574,2751.455,171690
01.11.2024 05:55:00.000 GMT+0200,2751.455,2751.805,2751.074,2751.625,178260
01.11.2024 06:00:00.000 GMT+0200,2751.625,2751.945,2751.055,2751.304,179430
01.11.2024 06:05:00.000 GMT+0200,2751.314,2751.495,2751.025,2751.175,41400
01.11.2024 06:10:00.000 GMT+0200,2751.195,2751.385,2751.055,2751.245,24510
01.11.2024 06:15:00.000 GMT+0200,2751.245,2751.675,2751.075,2751.075,43980
01.11.2024 06:20:00.000 GMT+0200,2751.088,2751.205,2750.615,2751.085,60960
01.11.2024 06:25:00.000 GMT+0200,2751.085,2751.615,2750.985,2751.605,24780
01.11.2024 06:30:00.000 GMT+0200,2751.585,2751.635,2751.095,2751.405,14370
01.11.2024 06:35:00.000 GMT+0200,2751.405,2751.595,2751.185,2751.395,57720
01.11.2024 06:40:00.000 GMT+0200,2751.415,2752.305,2751.234,2752.085,77400
01.11.2024 06:45:00.000 GMT+0200,2752.085,2752.815,2752.025,2752.465,99450
01.11.2024 06:50:00.000 GMT+0200,2752.465,2752.535,2751.295,2751.995,78780
01.11.2024 06:55:00.000 GMT+0200,2752.035,2752.545,2751.824,2752.095,68550
01.11.2024 07:00:00.000 GMT+0200,2752.095,2752.355,2752.065,2752.125,110640
01.11.2024 07:05:00.000 GMT+0200,2752.125,2752.888,2752.085,2752.485,88530
01.11.2024 07:10:00.000 GMT+0200,2752.494,2752.655,2752.165,2752.385,69450
01.11.2024 07:15:00.000 GMT+0200,2752.435,2752.535,2751.825,2752.535,173700
01.11.2024 07:20:00.000 GMT+0200,2752.545,2752.865,2752.115,2752.175,110130
01.11.2024 07:25:00.000 GMT+0200,2752.155,2752.275,2751.485,2752.005,61260
01.11.2024 07:30:00.000 GMT+0200,2751.965,2752.925,2751.724,2752.414,345059.99
01.11.2024 07:35:00.000 GMT+0200,2752.405,2753.795,2752.085,2753.565,237060
01.11.2024 07:40:00.000 GMT+0200,2753.525,2753.988,2752.965,2752.975,119250
01.11.2024 07:45:00.000 GMT+0200,2753.008,2753.565,2752.675,2753.315,169500
01.11.2024 07:50:00.000 GMT+0200,2753.315,2754.565,2753.235,2754.465,151830
01.11.2024 07:55:00.000 GMT+0200,2754.465,2755.045,2753.895,2754.825,301170
01.11.2024 08:00:00.000 GMT+0200,2754.855,2756.615,2754.835,2755.615,240150
01.11.2024 08:05:00.000 GMT+0200,2755.635,2757.375,2754.615,2756.705,318960
01.11.2024 08:10:00.000 GMT+0200,2756.675,2757.535,2756.225,2756.545,287610
01.11.2024 08:15:00.000 GMT+0200,2756.525,2756.565,2754.095,2754.435,322890
01.11.2024 08:20:00.000 GMT+0200,2754.435,2755.345,2753.705,2754.065,220110
01.11.2024 08:25:00.000 GMT+0200,2754.025,2754.035,2752.435,2752.705,271920
01.11.2024 08:30:00.000 GMT+0200,2752.705,2754.045,2751.685,2752.855,197970
01.11.2024 08:35:00.000 GMT+0200,2752.815,2753.105,2751.655,2752.305,277410
01.11.2024 08:40:00.000 GMT+0200,2752.285,2753.225,2751.145,2751.615,283260
01.11.2024 08:45:00.000 GMT+0200,2751.565,2753.435,2751.565,2753.075,319080
01.11.2024 08:50:00.000 GMT+0200,2753.115,2753.445,2751.665,2752.245,265170
01.11.2024 08:55:00.000 GMT+0200,2752.215,2752.555,2751.625,2751.858,119580
01.11.2024 09:00:00.000 GMT+0200,2751.855,2752.595,2751.095,2752.575,99510
01.11.2024 09:05:00.000 GMT+0200,2752.575,2753.025,2751.005,2751.005,177880
01.11.2024 09:10:00.000 GMT+0200,2751.115,2751.115,2749.875,2750.225,378740.01
01.11.2024 09:15:00.000 GMT+0200,2750.225,2751.345,2750.155,2750.475,242330
01.11.2024 09:20:00.000 GMT+0200,2750.475,2751.825,2750.055,2751.795,203840
01.11.2024 09:25:00.000 GMT+0200,2751.795,2751.895,2749.715,2750.005,249440
01.11.2024 09:30:00.000 GMT+0200,2749.985,2750.455,2748.315,2749.535,433939.99
01.11.2024 09:35:00.000 GMT+0200,2749.535,2749.785,2747.915,2747.915,384340
01.11.2024 09:40:00.000 GMT+0200,2747.905,2748.105,2747.055,2747.195,547549.99
01.11.2024 09:45:00.000 GMT+0200,2747.195,2749.075,2747.135,2749.055,462859.99
01.11.2024 09:50:00.000 GMT+0200,2749.055,2749.135,2747.715,2748.255,632279.99
01.11.2024 09:55:00.000 GMT+0200,2748.255,2749.605,2747.955,2749.555,584289.99
01.11.2024 10:00:00.000 GMT+0200,2749.535,2751.155,2748.455,2751.135,529630.01
01.11.2024 10:05:00.000 GMT+0200,2751.145,2751.715,2750.235,2751.325,351600
01.11.2024 10:10:00.000 GMT+0200,2751.305,2752.765,2751.115,2752.355,402349.99
01.11.2024 10:15:00.000 GMT+0200,2752.345,2752.885,2751.535,2752.585,340930
01.11.2024 10:20:00.000 GMT+0200,2752.585,2753.765,2751.715,2753.745,419430
01.11.2024 10:25:00.000 GMT+0200,2753.745,2754.338,2753.645,2753.978,152970
01.11.2024 10:30:00.000 GMT+0200,2753.988,2754.345,2753.165,2753.405,164130
01.11.2024 10:35:00.000 GMT+0200,2753.385,2754.415,2751.775,2754.365,219890
01.11.2024 10:40:00.000 GMT+0200,2754.365,2754.948,2753.385,2754.655,363700
01.11.2024 10:45:00.000 GMT+0200,2754.655,2754.655,2752.735,2753.455,193510
01.11.2024 10:50:00.000 GMT+0200,2753.435,2753.445,2751.295,2751.935,339040.01
01.11.2024 10:55:00.000 GMT+0200,2751.935,2753.765,2751.785,2753.335,116030
01.11.2024 11:00:00.000 GMT+0200,2753.335,2754.035,2752.225,2753.245,205340
01.11.2024 11:05:00.000 GMT+0200,2753.265,2754.905,2752.298,2754.705,152970
01.11.2024 11:10:00.000 GMT+0200,2754.735,2755.045,2754.145,2754.985,115320
01.11.2024 11:15:00.000 GMT+0200,2754.985,2755.345,2752.825,2752.885,95880
01.11.2024 11:20:00.000 GMT+0200,2752.905,2753.745,2752.405,2753.014,102610
01.11.2024 11:25:00.000 GMT+0200,2753.034,2753.278,2752.028,2752.974,285540
