<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	16381.20	16423.00	16381.20	16388.10	14565	0	0
2022.01.03	01:05:00	16387.80	16396.70	16376.20	16379.80	5225	0	0
2022.01.03	01:10:00	16379.50	16385.10	16375.10	16375.10	3185	0	0
2022.01.03	01:15:00	16375.20	16387.60	16374.70	16384.80	2865	0	0
2022.01.03	01:20:00	16385.20	16390.10	16379.20	16380.70	3345	0	0
2022.01.03	01:25:00	16381.40	16382.80	16373.50	16382.80	2935	0	0
2022.01.03	01:30:00	16382.70	16383.80	16372.20	16376.90	2335	0	0
2022.01.03	01:35:00	16377.10	16380.00	16373.90	16379.20	2375	0	0
2022.01.03	01:40:00	16379.00	16380.20	16375.10	16379.70	1775	0	0
2022.01.03	01:45:00	16379.90	16385.70	16378.40	16384.40	2345	0	0
2022.01.03	01:50:00	16384.10	16387.20	16382.00	16386.70	1495	0	0
2022.01.03	01:55:00	16386.30	16390.20	16383.60	16386.40	1935	0	0
2022.01.03	02:00:00	16387.00	16400.50	16387.00	16390.60	4985	0	0
2022.01.03	02:05:00	16391.20	16393.50	16388.80	16393.50	1755	0	0
2022.01.03	02:10:00	16394.00	16395.10	16387.10	16387.60	1745	0	0
2022.01.03	02:15:00	16387.70	16393.50	16383.90	16389.70	2625	0	0
2022.01.03	02:20:00	16390.00	16399.10	16390.00	16398.80	2375	0	0
2022.01.03	02:25:00	16399.20	16401.30	16394.80	16400.50	3205	0	0
2022.01.03	02:30:00	16399.90	16407.70	16399.40	16402.90	2435	0	0
2022.01.03	02:35:00	16402.20	16411.00	16401.60	16406.70	2045	0	0
2022.01.03	02:40:00	16406.90	16413.40	16403.20	16409.60	3005	0	0
2022.01.03	02:45:00	16409.90	16415.50	16406.50	16413.90	2215	0	0
2022.01.03	02:50:00	16413.80	16415.60	16411.60	16413.50	1955	0	0
2022.01.03	02:55:00	16414.00	16419.90	16410.90	16415.50	2725	0	0
2022.01.03	03:00:00	16415.60	16418.70	16410.10	16410.90	4065	0	0
2022.01.03	03:05:00	16411.10	16414.70	16409.60	16413.80	2015	0	0
2022.01.03	03:10:00	16414.00	16426.70	16412.70	16419.90	3535	0	0
2022.01.03	03:15:00	16419.70	16424.70	16417.90	16422.90	3295	0	0
2022.01.03	03:20:00	16422.40	16423.10	16417.40	16421.40	2405	0	0
2022.01.03	03:25:00	16421.60	16423.70	16416.50	16418.50	2705	0	0
2022.01.03	03:30:00	16418.60	16422.60	16415.70	16417.60	2915	0	0
2022.01.03	03:35:00	16417.20	16417.20	16408.10	16411.10	2405	0	0
2022.01.03	03:40:00	16410.70	16410.70	16401.60	16406.10	3075	0	0
2022.01.03	03:45:00	16405.90	16407.70	16398.50	16404.60	3395	0	0
